event_type,items/0/releases,items/0/country_code,items/0/amount_paid_fmt,items/0/currency,items/0/item_price,items/0/artist_name,items/0/item_type,items/0/album_title,items/0/amount_paid,items/0/package_image_id,items/0/country,items/0/slug_type,items/0/amount_paid_usd,items/0/art_id,items/0/art_url,items/0/utc_date,items/0/url,items/0/track_album_slug_text,items/0/item_description,utc_date,items/1/releases,items/1/country_code,items/1/amount_paid_fmt,items/1/currency,items/1/item_price,items/1/artist_name,items/1/item_type,items/1/album_title,items/1/amount_paid,items/1/package_image_id,items/1/country,items/1/slug_type,items/1/amount_paid_usd,items/1/art_id,items/1/art_url,items/1/utc_date,items/1/url,items/1/track_album_slug_text,items/1/item_description,items/2/releases,items/2/country_code,items/2/amount_paid_fmt,items/2/currency,items/2/item_price,items/2/artist_name,items/2/item_type,items/2/album_title,items/2/amount_paid,items/2/package_image_id,items/2/country,items/2/slug_type,items/2/amount_paid_usd,items/2/art_id,items/2/art_url,items/2/utc_date,items/2/url,items/2/track_album_slug_text,items/2/item_description,items/0/amount_over_fmt,items/3/releases,items/3/country_code,items/3/amount_paid_fmt,items/3/currency,items/3/item_price,items/3/artist_name,items/3/item_type,items/3/album_title,items/3/amount_paid,items/3/package_image_id,items/3/country,items/3/slug_type,items/3/amount_paid_usd,items/3/art_id,items/3/art_url,items/3/utc_date,items/3/url,items/3/track_album_slug_text,items/3/item_description,items/4/releases,items/4/country_code,items/4/amount_paid_fmt,items/4/currency,items/4/item_price,items/4/artist_name,items/4/item_type,items/4/album_title,items/4/amount_paid,items/4/package_image_id,items/4/country,items/4/slug_type,items/4/amount_paid_usd,items/4/art_id,items/4/art_url,items/4/utc_date,items/4/url,items/4/track_album_slug_text,items/4/item_description,items/0/addl_count,items/0/item_slug
sale,,gb,£1.30,GBP,1.29999995231628,"Balouga Boys, Blue Amazon",a,,1.3,,United Kingdom,a,1.75,2003606988,https://f4.bcbits.com/img/a2003606988_7.jpg,1633003928.3916,//stressrecords.bandcamp.com/album/everlasting-gobstopper-club-mix,,Everlasting Gobstopper (Club Mix),1633003928.94766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,hk,$7.50,USD,7.5,Soft Kill,a,,7.5,,Hong Kong,a,7.5,3464643123,https://f4.bcbits.com/img/a3464643123_7.jpg,1633003929.14096,//anopendoor.bandcamp.com/album/heresy,,Heresy,1633003929.36034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,jp,€1.50,EUR,1.5,Emok & Silent Sphere (Iboga Records),t,Karussell,1.5,,Japan,t,1.75,702661676,https://f4.bcbits.com/img/a0702661676_7.jpg,1633003929.98127,//iboga-beatspace.bandcamp.com/track/karussell,,Karussell,1633003929.90469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,$8,USD,8,The Wise Man's Fear,a,,8,,United Kingdom,a,8,1294179361,https://f4.bcbits.com/img/a1294179361_7.jpg,1633003930.0554,//twmfband.bandcamp.com/album/the-lost-city,,The Lost City,1633003930.22245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,£4,GBP,4,Stray Bullet,a,,4,,United Kingdom,a,5.38,1066355248,https://f4.bcbits.com/img/a1066355248_7.jpg,1633003931.17514,//straybullethc.bandcamp.com/album/stray-bullet-ep,,Stray Bullet EP.,1633003931.76991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,de,$1,USD,1,Frederic Robinson,t,Hiding Music In Everything EP,1,,Germany,t,1,2398720530,https://f4.bcbits.com/img/a2398720530_7.jpg,1633003934.96923,//fredericrobinson.bandcamp.com/track/over,,Over,1633003934.92088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,no,£2.50,GBP,2.5,Al Kent,t,,2.5,,Norway,t,3.36,4120390715,https://f4.bcbits.com/img/a4120390715_7.jpg,1633003936.82496,//milliondollardisco1.bandcamp.com/track/the-loneliest-one-2,,The Loneliest One,1633003936.19282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,us,$16,USD,16,Red Fang,p,,16,24301350,United States,p,16,,https://f4.bcbits.com/img/0024301350_37.jpg,1633003942.30366,//redfang.bandcamp.com/merch/arrows-trucker-hat,,Arrows Trucker Hat,1633003942.35203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,nl,£5,GBP,5,Inox Traxx,a,,5,,Netherlands,a,6.72,1570460934,https://f4.bcbits.com/img/a1570460934_7.jpg,1633003942.77303,//bensims.bandcamp.com/album/house-of-wax-ep-symbolism,,House of Wax EP (SYMBOLISM),1633003942.97737,,nl,£5,GBP,5,Deano,a,,5,,Netherlands,a,6.72,643659114,https://f4.bcbits.com/img/a0643659114_7.jpg,1633003942.57545,//bensims.bandcamp.com/album/octagon-ep-symbolism,,Octagon EP (SYMBOLISM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,jp,€8,EUR,8,Eelco van Zanten,a,,8,,Japan,a,9.28,2758143318,https://f4.bcbits.com/img/a2758143318_7.jpg,1633003947.2575,//eelcovanzanten.bandcamp.com/album/ez-guitar-thang-no-1-15,,EZ - Guitar Thang no.1-15,1633003947.99381,,jp,€8,EUR,8,Eelco van Zanten,a,,8,,Japan,a,9.28,1637525273,https://f4.bcbits.com/img/a1637525273_7.jpg,1633003947.23746,//eelcovanzanten.bandcamp.com/album/fantasy-check,,Fantasy Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
